A!SUBCLASS!RECORD_TAG!REFDES!COMP_PACKAGE!COMP_PART_NUMBER!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!GRAPHIC_DATA_NAME!GRAPHIC_DATA_1!GRAPHIC_DATA_2!GRAPHIC_DATA_3!GRAPHIC_DATA_4!GRAPHIC_DATA_5!GRAPHIC_DATA_6!GRAPHIC_DATA_7!GRAPHIC_DATA_8!GRAPHIC_DATA_9!GRAPHIC_DATA_10!PACKAGE_HEIGHT_MIN!PACKAGE_HEIGHT_MAX!SYM_HAS_PIN_EDIT!SYM_DFA_DEV_CLASS!COMP_PACKAGE_HEIGHT_MIN!COMP_PACKAGE_HEIGHT_MAX!EMBEDDED_STATUS!BOM_IGNORE!SYM_ZONE_NAME!PLACEMENT_LAYER!
J!C:/Users/Prometheus/Downloads/Downloads/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.0/Dell Latitude 5480  5488 CDM70 LA-E081P LA-E082P R1.1.brd!Tue Mar 19 17:06:38 2024!-24000.00!-16212.60!24000.00!15787.40!0.01!mils!D:/2016/LE081/1107/BR14U_UMA_MB_A00_20161107-1.NET!47.679921 mil!10!UP TO DATE!
S!PLACE_BOUND_TOP!236793 1!!!!!!!!!RECTANGLE!10557.00!2977.00!10573.00!2993.00!1!!!!!!!0 MIL!!!!!!!!!
S!PLACE_BOUND_TOP!236896 7 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4072.81!3829.50!4072.81!3765.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 8 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4072.81!3765.29!4075.67!3765.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 9 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4075.67!3765.29!4075.67!3755.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 10 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4075.67!3755.29!4081.17!3755.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 11 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4081.17!3755.29!4081.17!3744.79!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 12 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4081.17!3744.79!4097.17!3744.79!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 13 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4097.17!3744.79!4097.17!3755.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 14 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4097.17!3755.29!4124.32!3755.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 15 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4124.32!3755.29!4124.32!3765.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
S!PLACE_BOUND_TOP!236896 16 0!LV9!TAIYO_MCF12102G900-T_4P-NPM!!TAIYO_MCF12102G900-T_4P-NPM!4089.17!3772.79!90.000!NO!LINE!4124.32!3765.29!4127.18!3765.29!0.00!!!!!SHAPE!!22 MIL!NO!!!!!!!!
